$E_a$	su	sd	ku	kd	dbcu	dbcd	dbwu	dbwd	dbfu	dbfd	$\Delta$E	Radius	Electronegativiy	$E_{affinity}$	ionization1	abundance	valence	common_CN	BEoxides
0.850	-1.276	-1.279	5.245	5.251	-1.057	-1.057	2.274	2.274	0.561	0.561	-1.020	152.000	1.880	63.700	760.400	0.003	9.000	9.000	780.000
0.910	-0.299	-0.303	7.238	7.234	-1.826	-1.826	2.447	2.447	0.411	0.411	-1.090	156.000	1.830	15.700	762.500	6.300	8.000	8.000	711.000
0.970	-1.084	-1.075	5.581	5.579	-1.246	-1.243	2.336	2.336	0.578	0.576	-0.950	156.000	1.830	15.700	762.500	6.300	8.000	8.000	711.000
0.990	-1.313	-1.313	5.455	5.452	-1.448	-1.445	2.484	2.484	0.633	0.632	-0.950	156.000	1.830	15.700	762.500	6.300	8.000	8.000	711.000
1.020	-0.878	-0.885	5.681	5.678	-1.392	-1.393	2.345	2.345	0.457	0.457	-0.990	156.000	1.830	15.700	762.500	6.300	8.000	8.000	711.000
1.170	-1.350	-1.266	9.094	8.999	-1.550	-1.515	1.675	1.688	0.818	0.799	-0.460	190.000	2.160	71.900	684.300	0.000	6.000	6.000	233.100
1.590	-1.149	-1.150	4.834	4.836	-1.555	-1.556	2.411	2.411	0.655	0.655	-0.880	190.000	2.160	71.900	684.300	0.000	6.000	6.000	233.100
1.590	-1.728	-1.731	7.237	7.239	-0.562	-0.552	2.282	2.284	0.482	0.479	-0.590	198.000	1.600	86.100	652.100	0.002	13.000	8.000	207.200
1.890	-1.042	-1.042	4.385	4.385	-1.867	-1.865	2.564	2.564	0.680	0.679	-0.550	198.000	1.600	86.100	652.100	0.002	13.000	8.000	207.200
2.590	-1.563	-1.476	8.918	8.779	-1.318	-1.489	1.637	1.608	0.797	0.831	-1.500	198.000	1.600	86.100	652.100	0.002	13.000	8.000	207.200
